Year,Acute Diarrhoeal Cases,Acute Diarrhoeal Deaths,Malaria Cases,Malaria Deaths,Acute Respiratory Cases,Acute Respiratory Deaths,Japanese Encephalitis Cases,Japanese Encephalitis Deaths,Viral Hepatitis Cases,Viral Hepatitis Deaths,No. of Govt. Hospitals,Allopathic Doctors,Dental Surgeons
Andhra Pradesh,2291375,214,31095,20,3117568,275,139,7,9949,60,475,10,19
Arunachal Pradesh,19104,3,15337,nan,35804,4,nan,nan,219,6,161,86129,13372
Assam,75681,nan,57969,34,56547,nan,562,125,312,nan,153,641,159
Bihar,nan,nan,1149,3,nan,nan,50,7,nan,nan,1717,22356,1804
Chhattisgarh,51480,2,118500,32,107827,7,nan,nan,287,4,218,40043,3987
Delhi,115478,89,250,nan,249463,182,nan,nan,6510,61,20,6439,1463
Goa,16417,5,2186,1,71344,8,80,nan,71,nan,373,3318,922
Gujarat,233640,2,58996,9,382499,nan,nan,nan,2673,nan,154,53954,10515
Haryana,207143,41,9610,nan,983342,65,1,1,1500,4,142,5717,7645
Himachal Pradesh,284548,28,197,nan,1364166,188,nan,nan,2566,13,92,2849,2585
Jammu & Kashmir,494138,2,718,nan,477673,1,nan,nan,3990,nan,500,13789,1910
Jharkhand,56298,nan,173891,13,92847,nan,nan,nan,231,nan,919,4763,351
Karnataka,539761,60,41861,11,1473152,184,143,1,8308,16,386,101273,37528
Kerala,371287,2,2162,4,6013090,120,19,5,5395,6,457,51063,11016
Madhya Pradesh,305438,107,80094,nan,578177,238,34,17,5168,15,1772,33987,7182
Maharashtra,813445,12,124860,162,796617,88,nan,nan,5446,36,31,153513,34939
Manipur,12127,11,890,4,17183,13,118,15,298,nan,39,..,284
Meghalaya,170480,15,40180,82,296209,nan,nan,nan,428,1,25,52666,
Mizoram,16148,12,15060,22,25665,18,nan,nan,571,12,48,801,
Nagaland,31526,0,4736,5,57602,nan,11,6,99,nan,1709,21681,896
Orissa,560255,94,328767,203,1069258,160,nan,nan,2879,57,231,44682,14409
Punjab,204936,39,3369,nan,642862,15,nan,nan,6546,21,475,38182,5502
Rajasthan,181337,9,47057,26,686113,32,nan,nan,950,1,33,893,
Sikkim,47320,2,47,nan,92887,7,nan,nan,798,2,581,118275,15478
Tamil Nadu,428247,47,14102,1,2287402,234,466,7,5143,3,-,..,NR
Tripura,75964,33,22926,8,105282,129,nan,nan,450,4,32,65343,11172
Uttar Pradesh,385412,132,59114,nan,817467,141,3540,494,1977,9,861,5693,951
Uttarakhand,100065,42,1599,nan,132998,92,7,nan,6645,12,695,65326,4719
West Bengal,1832605,368,108180,38,1828754,411,1,nan,4440,65,294,,943
A & N Islands,24355,8,2377,nan,53187,nan,nan,nan,228,4,8,11905,7642
Chandigarh,nan,nan,347,nan,nan,nan,nan,nan,nan,nan,4,,360
D & N Haveli,69265,1,5339,nan,112471,nan,nan,nan,314,2,2,1005281,197734
Daman & Diu,8169,nan,194,nan,48839,nan,nan,nan,103,nan,4,1005281,197734
Delhi,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,130,,
Lakshadweep,6742,nan,6,nan,17263,nan,nan,nan,20,nan,5,,
Puducherry,82659,5,154,nan,628586,nan,nan,nan,650,2,14,,
